czas_krok,moc,T_prawdziwa,T_poprzednia,pred_B_z_pamiecia
329,15.621088666940683,35.26719533389454,35.057395814719136,34.83718156770303
330,15.621088666940683,35.544754715629445,35.26719533389454,34.85422135252668
331,15.621088666940683,35.31058852613029,35.544754715629445,34.86904449663315
332,15.621088666940683,35.03910191797233,35.31058852613029,34.88189802776442
333,15.621088666940683,35.396635881332784,35.03910191797233,34.893012284840914
334,15.621088666940683,34.70641093725831,35.396635881332784,34.90259896941022
335,15.621088666940683,35.15353645336424,34.70641093725831,34.910850317778305
336,15.621088666940683,35.003184971396,35.15353645336424,34.91793912638881
337,15.621088666940683,34.954190031911025,35.003184971396,34.924019391923856
338,15.621088666940683,34.70578075594589,34.954190031911025,34.92922736540408
339,15.621088666940683,34.667488356733266,34.70578075594589,34.93368285927948
340,15.621088666940683,35.02805946291267,34.667488356733266,34.937490683797414
341,15.621088666940683,35.20970234324266,35.02805946291267,34.940742121525325
342,15.621088666940683,35.293360807847165,35.20970234324266,34.9435163759308
343,15.621088666940683,35.24918255198271,35.293360807847165,34.94588195141009
344,15.621088666940683,34.74819366300626,35.24918255198271,34.94789793863203
345,15.621088666940683,34.46772580283423,34.74819366300626,34.94961519127303
346,15.621088666940683,34.35997607454193,34.46772580283423,34.95107738895404
347,15.621088666940683,34.50110963183102,34.35997607454193,34.95232198719756
348,15.621088666940683,34.514545367564,34.50110963183102,34.95338105915195
349,15.621088666940683,34.80106173699021,34.514545367564,34.954282036219396
350,15.621088666940683,34.91169372127306,34.80106173699021,34.955048356004006
351,15.621088666940683,34.887692103876574,34.91169372127306,34.95570002650108
352,15.621088666940683,35.5320338317604,34.887692103876574,34.956254115429275
353,15.621088666940683,35.56396783765834,35.5320338317604,34.95672517325161
354,15.621088666940683,35.34189645708695,35.56396783765834,34.95712559787261
355,15.621088666940683,35.82516354938987,35.34189645708695,34.957465948333294
356,15.621088666940683,36.0719026368865,35.82516354938987,34.95775521411755
357,15.621088666940683,36.48360546993252,36.0719026368865,34.958001045976765
358,15.621088666940683,36.284266158572855,36.48360546993252,34.95820995350158
359,15.621088666940683,36.427046310755145,36.284266158572855,34.9583874740364
360,5.308767414437037,35.82965647509682,36.427046310755145,34.63347276862541
361,5.308767414437037,35.49538769254441,35.82965647509682,34.329988281301105
362,5.308767414437037,34.905341301845716,35.49538769254441,34.03584623591321
363,5.308767414437037,34.00329842322377,34.905341301845716,33.74449968797367
364,5.308767414437037,33.88971648275235,34.00329842322377,33.45321543151796
365,5.308767414437037,32.93240157881445,33.88971648275235,33.16226128273425
366,5.308767414437037,32.020899309571114,32.93240157881445,32.874138217142246
367,5.308767414437037,31.864872114628103,32.020899309571114,32.59249697926732
368,5.308767414437037,31.783988410736978,31.864872114628103,32.32093811624212
369,5.308767414437037,31.82932829606307,31.783988410736978,32.06230717908363
370,5.308767414437037,31.802472749517953,31.82932829606307,31.818786546157227
371,5.308767414437037,31.998174329366492,31.802472749517953,31.592138364575085
372,5.308767414437037,31.945295081206986,31.998174329366492,31.383068980049522
373,5.308767414437037,31.646883453708778,31.945295081206986,31.18974221480176
374,5.308767414437037,31.389951254855593,31.646883453708778,31.006758963802724
375,5.308767414437037,31.09099060995207,31.389951254855593,30.825459683055165
376,5.308767414437037,30.989256430663946,31.09099060995207,30.63522899008639
377,5.308767414437037,30.477813967821923,30.989256430663946,30.426463258107695
378,5.308767414437037,30.438767322144944,30.477813967821923,30.198733546518717
379,5.308767414437037,30.274643696504956,30.438767322144944,29.973984425788146
380,5.308767414437037,30.23226456033187,30.274643696504956,29.791671840378854
381,5.308767414437037,30.194202118177607,30.23226456033187,29.672206738304766
382,5.308767414437037,29.339888380509766,30.194202118177607,29.6044800587782
383,5.308767414437037,29.019210976650673,29.339888380509766,29.568659603940695
384,5.308767414437037,28.961987311473052,29.019210976650673,29.55024102348782
385,5.308767414437037,28.925284651246994,28.961987311473052,29.540876736148164
386,5.308767414437037,28.985980484028232,28.925284651246994,29.53613850950071
387,5.308767414437037,29.054708344586555,28.985980484028232,29.533746186754236
388,5.308767414437037,29.482103486080888,29.054708344586555,29.532539539023958
389,5.308767414437037,29.51417456370489,29.482103486080888,29.531931228375484
390,5.308767414437037,29.356035298324656,29.51417456370489,29.53162463446884
391,5.308767414437037,28.824717244878528,29.356035298324656,29.53147012742364
392,5.308767414437037,28.405064642806778,28.824717244878528,29.531392268874477
393,5.308767414437037,28.590208826555884,28.405064642806778,29.531353035932142
394,5.308767414437037,28.918027976845643,28.590208826555884,29.53133326675077
395,5.308767414437037,29.363898849954534,28.918027976845643,29.531323305288744
396,5.308767414437037,29.063320830464548,29.363898849954534,29.531318285842985
397,5.308767414437037,28.943997645579195,29.063320830464548,29.53131575661731
398,5.308767414437037,28.99807975193888,28.943997645579195,29.531314482178573
399,5.308767414437037,29.58935486030393,28.99807975193888,29.53131384000841
